customer_id,first_name,last_name,gender,birthdate,address,city,state,zip_code,phone_number,email,occupation,annual_income,account_number,card_number,total_transactions,total_amount_spent,average_transaction_amount,max_transaction_amount,unique_transaction_descriptions,days_since_first_transaction,transaction_frequency,transaction_amount_to_income_ratio,age
1,Siya,Patla,Female,1982-03-10,"471, Sekhon Ganj",South Dumdum,Himachal Pradesh,934772,5908249282,jbajwa@example.net,Ranger/warden,1425781,GB70HALH3004997722225,4221965985485233,6.0,22186.0,3697.6666666666665,9877.0,4.0,535.0,0.011214953271028037,0.015560594509254927,42.0
2,Tejas,Datta,Female,1986-09-13,"H.No. 01
Munshi Path",Purnia,Uttar Pradesh,33756,3135365954,rkonda@example.net,Geophysical data processor,670422,GB43CUFX1109581817613,3573024243243152,7.0,45133.0,6447.571428571428,9751.0,6.0,451.0,0.015521064301552107,0.06732028483552151,38.0
3,Vincent,Dube,Female,1991-10-07,"73/284, Mall Chowk",Yamunanagar,Madhya Pradesh,841603,6390538898,aroramaya@example.com,"Development worker, community",1755332,GB04EQXP9042775834656,4996218366191969,7.0,43800.0,6257.142857142857,9844.0,5.0,410.0,0.01707317073170732,0.024952544589855366,33.0
4,Umang,Sodhi,Male,1981-06-01,"66, Saraf Circle",Kirari Suleman Nagar,Arunachal Pradesh,152807,915362912839,qarin08@example.org,"Psychotherapist, dance movement",653599,GB77EFCE9000454073039,5560729043877526,1.0,8037.0,8037.0,8037.0,1.0,0.0,0.0,0.012296530441448043,43.0
5,Ishita,Prabhu,Female,1995-01-12,"35/22
Prashad Path",Satna,Arunachal Pradesh,128751,915129459885,nikita68@example.org,Computer games developer,865102,GB98TYQN2596958929991,213175017923155,1.0,6455.0,6455.0,6455.0,1.0,0.0,0.0,0.0074615478868387776,30.0
6,Nidra,Bhat,Female,1979-09-14,"11, Tiwari Road",Vadodara,Rajasthan,250599,5183852763,onkar68@example.org,Information systems manager,590169,GB85RLMX8101124963429,6515194868368495,5.0,17322.0,3464.4,5296.0,4.0,544.0,0.009191176470588236,0.02935091473798183,45.0
7,Abhimanyu,Palla,Male,2004-07-13,"69/90, Loyal Zila",Katihar,Uttarakhand,759906,917915246357,udyati62@example.org,"Engineer, aeronautical",1871154,GB37GHPH0101029750034,2249525993477135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
8,Falguni,Radhakrishnan,Male,1977-01-27,"H.No. 94, Hayre Chowk",Bhusawal,Gujarat,136525,7501311482,tripti34@example.com,Mudlogger,1472098,GB82WKVN2830993411026,2711021728061724,1.0,5341.0,5341.0,5341.0,1.0,0.0,0.0,0.003628155190754963,48.0
9,Hamsini,Grewal,Male,1979-08-01,"27, Pau Chowk",Aizawl,Punjab,881935,7055439924,widishabala@example.com,Chartered public finance accountant,1889863,GB36WMMU4829321423269,676165215648,1.0,4998.0,4998.0,4998.0,1.0,0.0,0.0,0.0026446361455830397,45.0
10,Alka,Bobal,Female,2002-09-23,"71/105, Babu Ganj",Gudivada,Odisha,848951,7975329443,vihaan13@example.net,"Programme researcher, broadcasting/film/video",639935,GB86OWSY8300014876513,4717001097067932,9.0,42509.0,4723.222222222223,9132.0,6.0,675.0,0.013333333333333334,0.06642705899817951,22.0
11,Jeet,Trivedi,Female,1999-10-17,"065, Padmanabhan Street",Mau,Maharashtra,938895,2442429778,fbala@example.com,"Radiographer, therapeutic",1310672,GB94OETO6464893692749,3549389620256296,7.0,39140.0,5591.428571428572,8774.0,5.0,412.0,0.01699029126213592,0.029862543794328407,25.0
12,Hema,Kakar,Male,1983-06-04,"77, Kant Nagar",Pimpri-Chinchwad,Nagaland,164962,4488764414,vohraom@example.com,Air broker,1078984,GB54EKCD2557186748298,213113777338868,3.0,16213.0,5404.333333333333,8687.0,2.0,553.0,0.0054249547920434,0.015026172769939127,41.0
13,Gavin,Munshi,Female,1981-09-27,"H.No. 54, Wali Chowk",Ramagundam,Telangana,825340,913271416758,aarnavsridhar@example.net,"Therapist, nutritional",1365266,GB25SONL1493581606680,345505728197254,2.0,6800.0,3400.0,5055.0,2.0,104.0,0.019230769230769232,0.004980714380933825,43.0
14,Nakul,Issac,Female,1985-06-03,"12/57, Dugal Road",Avadi,Gujarat,995418,2734100218,wakeetashroff@example.net,Textile designer,846395,GB85SYQA2664071535556,2239062431491926,7.0,39898.0,5699.714285714285,9842.0,4.0,705.0,0.009929078014184398,0.047138747275208386,39.0
