customer_id,first_name,last_name,gender,birthdate,address,city,state,zip_code,phone_number,email,occupation,annual_income,account_number,card_number,total_transactions,total_amount_spent,average_transaction_amount,max_transaction_amount,unique_transaction_descriptions,days_since_first_transaction,transaction_frequency,transaction_amount_to_income_ratio,age,risk_score
1,Mitesh,Kamdar,Female,1989-03-23,"70, Dey Path",Kumbakonam,Kerala,501825,342214715,etrivedi@example.com,Restaurant manager,1925603,GB07NOBU8871360038047,4220940647470806796,2.0,16373.0,8186.5,8546.0,2.0,0.0,0.0,0.0085027910737571,35.0,1
2,Janya,Bala,Male,1978-11-12,"H.No. 51
Rout Street",Aligarh,Uttarakhand,804319,3926245311,wasondevansh@example.com,Administrator,1847881,GB34IVTA5804090102169,4353609311725132794,3.0,26621.0,8873.666666666666,9130.0,2.0,287.0,0.0104529616724738,0.0144062307042498,46.0,1
3,Ikshita,Deshpande,Male,1990-04-30,"110
Dar Chowk",Aurangabad,Haryana,261664,4284859380,darpan12@example.net,"Engineer, petroleum",1549154,GB60RZVY1184452366786,4132961647978,9.0,59219.0,6579.888888888889,9997.0,6.0,484.0,0.018595041322314,0.0382266708151675,34.0,2
4,Krishna,Mahajan,Male,1999-12-09,"60/55, Acharya Marg",Thoothukudi,Nagaland,372698,4785817651,onimann@example.org,Adult guidance worker,1482613,GB54PDFD8080147430466,4840275311287620607,8.0,32148.0,4018.5,9661.0,7.0,591.0,0.0135363790186125,0.0216833388079019,25.0,2
5,Amrita,Bumb,Male,1982-11-03,"58, Dhawan Zila",Jalna,Tripura,40553,3401597798,xbail@example.org,Applications developer,479627,GB33XEZK2068369488108,6558618514602392,3.0,19195.0,6398.333333333333,9829.0,3.0,271.0,0.011070110701107,0.0400206827388783,42.0,1
6,Vrishti,Contractor,Male,1996-02-03,"H.No. 897
Rau Zila",Amravati,Bihar,896425,913652401739,yadavi99@example.org,Analytical chemist,817635,GB50QKCG7178804775693,3594177894542796,2.0,7854.0,3927.0,5696.0,2.0,101.0,0.0198019801980198,0.0096057531783742,29.0,1
7,Warda,Shere,Female,1991-06-13,"69
Kara Path",Ambala,Meghalaya,18787,4726911208,nsetty@example.com,Primary school teacher,942266,GB28ZBWO3955811672900,348659880152800,3.0,19650.0,6550.0,8623.0,3.0,21.0,0.1428571428571428,0.0208539839068798,33.0,1
8,Azad,Sandhu,Female,2002-03-10,"62
Krish",Tinsukia,Goa,608873,8139727853,oranganathan@example.net,Psychiatric nurse,1425804,GB80YRRG4245651868617,4636970453013045137,7.0,34685.0,4955.0,9503.0,5.0,628.0,0.0111464968152866,0.0243266255389941,23.0,2
9,Brinda,Nagarajan,Female,1977-04-08,"H.No. 028, Batra Path",Thiruvananthapuram,Nagaland,843529,6351045967,chakrabortyjeevika@example.net,"Designer, ceramics/pottery",1159662,GB94KLFI2343784490426,4923196230996136,2.0,4383.0,2191.5,4263.0,2.0,442.0,0.004524886877828,0.0037795495584058,47.0,0
10,Kashish,Sathe,Female,1999-06-29,"915, Varghese Path",Sirsa,Mizoram,161744,3251262397,amrita05@example.org,"Engineer, agricultural",836448,GB44HDKT9136156884020,4358206109223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0
11,Dayamai,Thaker,Female,1982-07-27,"H.No. 10
Rau Ganj",Bhatpara,Punjab,200266,916307868943,falakbansal@example.org,Audiological scientist,1027716,GB96YDNV1086483726424,213175832956224,5.0,34915.0,6983.0,9184.0,5.0,535.0,0.0093457943925233,0.0339733934277563,42.0,2
12,Bakhshi,Deo,Male,1994-08-21,"86/205, Borra Street",Rampur,West Bengal,166712,9534515978,wdani@example.com,"Education officer, museum",1367573,GB16QMUN0725918411481,30046378762444,9.0,54154.0,6017.111111111111,9373.0,6.0,619.0,0.0145395799676898,0.0395986174047016,30.0,2
