customer_id,first_name,last_name,gender,birthdate,address,city,state,zip_code,phone_number,email,occupation,annual_income,account_number,card_number
1,Tanvi,Sengupta,Female,1995-08-14,"483, Dani Circle",Agartala,Uttarakhand,779949,04830825915,edwinchakradhar@example.org,Careers information officer,1941286,GB09WMTT6483263531939,3567122733886130
2,Kala,Kumer,Female,1980-06-26,"H.No. 659
Seth Marg",Naihati,Maharashtra,692924,+914097150553,wdasgupta@example.org,Translator,623161,GB16RZFX1524798683419,30366568690613
3,Jagrati,Chaudhuri,Male,2000-06-16,"95/888
Keer Ganj",Naihati,Odisha,883936,9398562371,hkunda@example.com,Historic buildings inspector/conservation officer,229852,GB46IXBJ1201128625658,4584741618935170
4,Yashica,Prasad,Female,2004-04-12,"33, Ravi Road",Udaipur,Uttar Pradesh,118783,2755110329,shenoyayaan@example.net,"Engineer, electronics",878861,GB82UTBV7516888073425,4701488322884348
5,Anika,Mangal,Female,1990-01-28,"70
Shukla Road",Amaravati,Kerala,561601,3952561393,isarna@example.org,Conference centre manager,557741,GB24BEUE3726298017016,4627700147697486
6,Ansh,Bhat,Female,1995-05-13,"145, Chatterjee",Thoothukudi,Himachal Pradesh,464828,+915825882794,solankinakul@example.com,Airline pilot,1820834,GB90TBJV0922138850404,3544837433034248
7,Urvi,Gour,Male,2000-08-09,"02/27
Dalal Path",Vijayanagaram,Uttarakhand,299453,07867429171,vasatikarattan@example.com,"Engineer, energy",1331050,GB62PBEA4294532679282,4876056840392049202
8,Omya,Lad,Female,1982-08-14,"928
Wable Nagar",Hapur,Haryana,065892,2885789387,pillayishita@example.org,Visual merchandiser,354306,GB56QRYE7991610721012,2272727290347546
9,Ucchal,Divan,Male,2000-11-20,"52, Bose Circle",Bhilwara,Madhya Pradesh,721851,6311135818,eeshagrover@example.com,Herbalist,1130879,GB37CCME6691540477889,4656383484202642
10,Naveen,Amble,Female,1986-08-05,"625, Ram Ganj",Bidar,Punjab,176666,4011431757,odika15@example.com,Graphic designer,1179692,GB04EVDZ5633144619541,180009071406568
11,Jairaj,Toor,Male,1981-04-06,"H.No. 13, Bobal Circle",Sambalpur,Punjab,842788,+918127238911,eta71@example.org,"Surveyor, hydrographic",957270,GB25HSTX0453933370415,180000227051093
